Index,Data,Frequency,Real,Imaginary,Abs
140,-1278,14000,156.9,-104.377,188.446
141,-1264,14100,-202.873,56.8625,210.691
142,-1268,14200,197.637,31.8172,200.182
143,-1686,14300,-189.643,-85.1988,207.902
144,-1680,14400,134.541,145.046,197.837
145,-1645,14500,-89.3527,-185.436,205.841
146,-1596,14600,14.7744,214.546,215.054
147,-1552,14700,47.8972,-187.054,193.089
148,-1528,14800,-119.424,177.962,214.319
149,-1525,14900,162.708,-114.78,199.119
150,-1527,15000,-202.348,61.1126,211.375
151,-1515,15100,200.465,13.8209,200.941
152,-1481,15200,-192.453,-75.2375,206.637
153,-1438,15300,149.994,134.766,201.643
154,-1402,15400,-95.7258,-174.704,199.211
155,-1378,15500,23.8617,205.531,206.911
156,-1369,15600,33.4469,-192.095,194.986
157,-1360,15700,-105.844,169.904,200.176
158,-1339,15800,145.669,-122.378,190.252
159,-1305,15900,-191.662,67.5485,203.217
160,-1270,16000,195,0.0158823,195
161,-1244,16100,-191.66,-67.5883,203.229
162,-1237,16200,144.427,122.466,189.36
163,-1247,16300,-104.691,-169.83,199.505
164,-1265,16400,33.2927,192.071,194.935
165,-1272,16500,23.838,-205.406,206.785
166,-1261,16600,-95.7908,174.792,199.319
167,-1245,16700,150.039,-134.892,201.761
168,-1251,16800,-193.218,76.1156,207.67
169,-1291,16900,200.221,-13.849,200.7
170,-1349,17000,-202.468,-60.6933,211.369
171,-1404,17100,163.06,115.185,199.64
172,-1435,17200,-120.878,-176.786,214.16
173,-1436,17300,47.6079,187.464,193.415
174,-1422,17400,14.6726,-214.663,215.164
175,-1418,17500,-89.391,185.396,205.822
176,-1439,17600,134.498,-144.617,197.493
177,-1481,17700,-189.431,85.2833,207.743
178,-1527,17800,197.524,-31.5397,200.026
179,-1562,17900,-202.601,-56.9788,210.461
180,-1584,18000,156.8,104.254,188.295
181,-1600,18100,-128.019,-170.004,212.815
182,-1623,18200,59.9095,192.649,201.75
183,-1655,18300,6.29358,-221.23,221.32
184,-1686,18400,-83.1316,189.362,206.806
185,-1712,18500,133.031,-155.113,204.346
186,-1720,18600,-185.614,103.305,212.425
187,-1703,18700,205.394,-38.0054,208.881
