,,,,1,-117456896
2417,-124190720,F8990000,,148,-103448576
2419,-125075456,F88B8000,,149,-102006784
2421,-125911040,F87EC000,,150,-95830016
2423,-126599168,F8744000,,151,-95076352
2425,-127287296,F869C000,,152,-94388224
2427,-127844352,F8614000,,153,-93650944
2429,-128172032,F85C4000,,154,-92995584
2431,-127778816,F8624000,,155,-92454912
2433,-127074304,F86D0000,,156,-91947008
2435,-126271488,F8794000,,157,-91668480
2437,-125190144,F889C000,,158,-91586560
2439,-124076032,F89AC000,,159,-91553792
2441,-122732544,F8AF4000,,160,-91684864
2443,-121208832,F8C68000,,161,-91947008
2445,-119832576,F8DB8000,,162,-92471296
2447,-118538240,F8EF4000,,163,-93224960
2449,-117276672,F9028000,,164,-94126080
2451,-116113408,F9144000,,165,-95272960
2453,-114966528,F925C000,,166,-96534528
2455,-113770496,F9380000,,167,-97845248
2457,-112492544,F94B8000,,168,-99155968
2459,-111083520,F9610000,,169,-100368384
2461,-109658112,F976C000,,170,-101597184
2463,-108150784,F98DC000,,171,-102957056
2465,-106659840,F9A48000,,172,-104480768
2467,-105086976,F9BC8000,,173,-106184704
2469,-103432192,F9D5C000,,174,-107724800
2471,-101892096,F9ED4000,,175,-109150208
2473,-100483072,FA02C000,,176,-110706688
2475,-99270656,FA154000,,177,-112279552
2477,-98222080,FA254000,,178,-114032640
2479,-97206272,FA34C000,,179,-115785728
2481,-96206848,FA440000,,180,-117325824
2483,-95289344,FA520000,,181,-118784000
2485,-94470144,FA5E8000,,182,-120160256
2487,-93765632,FA694000,,183,-121438208
2489,-92995584,FA750000,,184,-122552320
2491,-92307456,FA7F8000,,185,-123584512
2493,-91750400,FA880000,,186,-124370944
2495,-91291648,FA8F0000,,187,-125026304
2497,-90947584,FA944000,,188,-125779968
2499,-90685440,FA984000,,189,-126353408
2501,-90669056,FA988000,,190,-126746624
2503,-90800128,FA968000,,191,-127139840
2505,-91062272,FA928000,,192,-127434752
2507,-91586560,FA8A8000,,193,-127598592
2509,-92340224,FA7F0000,,194,-127696896
2511,-93241344,FA714000,,195,-127500288
2513,-94355456,FA604000,,196,-127123456
2515,-95584256,FA4D8000,,197,-126681088
2517,-96944128,FA38C000,,198,-126009344
2519,-98402304,FA228000,,199,-125059072
2521,-99696640,FA0EC000,,200,-124010496
2523,-101023744,F9FA8000,,201,-122880000
2525,-102367232,F9E60000,,202,-121569280
2527,-103841792,F9CF8000,,203,-120242176
2529,-105480192,F9B68000,,204,-118931456
2531,-107069440,F99E4000,,205,-117604352
2533,-108675072,F985C000,,206,-116375552
2535,-110329856,F96C8000,,207,-115228672
2537,-111951872,F953C000,,208,-107921408
2539,-113704960,F9390000,,209,-106479616
2541,-115556352,F91CC000,,210,-104890368
2543,-124256256,F8980000,,211,-103415808
2545,-125042688,F88C0000,,212,-102039552
2547,-125812736,F8804000,,213,-100712448
2549,-126664704,F8734000,,214,-99614720
2551,-127270912,F86A0000,,215,-98615296
2553,-127746048,F862C000,,216,-97615872
2555,-128188416,F85C0000,,217,-96698368
2557,-128548864,F8568000,,218,-95895552
2559,-128860160,F851C000,,219,-95191040
2561,-128925696,F850C000,,220,-94420992
2563,-128778240,F8530000,,221,-93749248
2565,-128548864,F8568000,,222,-93224960
2567,-128122880,F85D0000,,223,-92684288
2569,-127467520,F8670000,,224,-92192768
2571,-126517248,F8758000,,225,-91865088
2573,-125452288,F885C000,,226,-91684864
2575,-124370944,F8964000,,227,-91701248
2577,-122978304,F8AB8000,,228,-91783168
2579,-121536512,F8C18000,,229,-91963392
2581,-120193024,F8D60000,,230,-92585984
2583,-118849536,F8EA8000,,231,-93323264
2585,-117604352,F8FD8000,,232,-94175232
2587,-116424704,F90F8000,,233,-95338496
2589,-115343360,F9200000,,234,-96550912
2591,-114147328,F9324000,,235,-97910784
2593,-112803840,F946C000,,236,-99254272
2595,-111460352,F95B4000,,237,-100499456
2597,-109985792,F971C000,,238,-101744640
2599,-108560384,F9878000,,239,-103006208
2601,-107102208,F99DC000,,240,-104464384
2603,-105414656,F9B78000,,241,-106151936
2605,-103759872,F9D0C000,,242,-107642880
2607,-102318080,F9E6C000,,243,-109117440
2609,-100892672,F9FC8000,,244,-110690304
2611,-99680256,FA0F0000,,245,-112230400
2613,-98615296,FA1F4000,,246,-113950720
2615,-97517568,FA300000,,247,-115703808
2617,-96534528,FA3F0000,,248,-117325824
2619,-95698944,FA4BC000,,249,-118833152
2621,-94863360,FA588000,,250,-120307712
2623,-94076928,FA648000,,251,-121520128
2625,-93274112,FA70C000,,252,-122585088
2627,-92635136,FA7A8000,,253,-123600896
2629,-92110848,FA828000,,254,-124338176
2631,-91553792,FA8B0000,,255,-125009920
2633,-91193344,FA908000,,256,-125796352
2635,-90996736,FA938000,,257,-126353408
2637,-91013120,FA934000,,258,-126697472
2639,-91160576,FA910000,,259,-127205376
2641,-91357184,FA8E0000,,260,-127483904
2643,-91930624,FA854000,,261,-127582208
2645,-92733440,FA790000,,262,-127696896
2647,-93552640,FA6C8000,,263,-127549440
2649,-94617600,FA5C4000,,264,-127287296
2651,-95895552,FA48C000,,265,-126828544
2653,-97255424,FA340000,,266,-126074880
2655,-105365504,F9B84000,,267,-119259136
2657,-107053056,F99E8000,,268,-117948416
2659,-108625920,F9868000,,269,-116752384
2661,-110231552,F96E0000,,270,-115605504
2663,-112001024,F9530000,,271,-114524160
2665,-113672192,F9398000,,272,-113410048
2667,-115474432,F91E0000,,273,-112164864
2669,-117260288,F902C000,,274,-110886912
2671,-118849536,F8EA8000,,275,-109559808
2673,-120324096,F8D40000,,276,-108150784
2675,-121667584,F8BF8000,,277,-106692608
2677,-122863616,F8AD4000,,278,-105152512
2679,-123928576,F89D0000,,279,-103645184
2681,-124764160,F8904000,,280,-102219776
2683,-125566976,F8840000,,281,-100958208
2685,-126369792,F877C000,,282,-99893248
2687,-126959616,F86EC000,,283,-98910208
2689,-127500288,F8668000,,284,-97910784
2691,-127959040,F85F8000,,285,-96960512
2693,-128253952,F85B0000,,286,-96124928
2695,-128548864,F8568000,,287,-95420416
2697,-128630784,F8554000,,288,-94732288
2699,-128532480,F856C000,,289,-93995008
2701,-128270336,F85AC000,,290,-93356032
2703,-127827968,F8618000,,291,-92798976
2705,-127188992,F86B4000,,292,-92372992
2707,-126238720,F879C000,,293,-92094464
2709,-125222912,F8894000,,294,-91914240
2711,-124108800,F89A4000,,295,-91897856
2713,-122798080,F8AE4000,,296,-92028928
2715,-121389056,F8C3C000,,297,-92372992
2717,-119963648,F8D98000,,298,-92897280
2719,-118652928,F8ED8000,,299,-93569024
2721,-117374976,F9010000,,300,-94453760
2723,-116113408,F9144000,,301,-95469568
2725,-114982912,F9258000,,302,-96681984
2727,-113786880,F937C000,,303,-98058240
2729,-112427008,F94C8000,,304,-99336192
2731,-111099904,F960C000,,305,-100597760
2733,-109740032,F9758000,,306,-101957632
2735,-108298240,F98B8000,,307,-103235584
2737,-106823680,F9A20000,,308,-104660992
2739,-105201664,F9BAC000,,309,-106283008
2741,-103628800,F9D2C000,,310,-107839488
2743,-102137856,F9E98000,,311,-109330432
2745,-100630528,FA008000,,312,-110837760
2747,-99401728,FA134000,,313,-112394240
2749,-98353152,FA234000,,314,-114114560
2751,-97304576,FA334000,,315,-115916800
2753,-96321536,FA424000,,316,-117522432
2755,-95404032,FA504000,,317,-119029760
2757,-94683136,FA5B4000,,318,-120487936
2759,-93913088,FA670000,,319,-121798656
2761,-93110272,FA734000,,320,-122798080
2763,-92487680,FA7CC000,,321,-123748352
2765,-90718208,FA97C000,,322,-124583936
2767,-91045888,FA92C000,,323,-125206528
2769,-91570176,FA8AC000,,324,-125927424
2771,-92340224,FA7F0000,,325,-127631360
2773,-93274112,FA70C000,,326,-127483904
2775,-94273536,FA618000,,327,-127205376
2777,-95518720,FA4E8000,,328,-126664704
2779,-96878592,FA39C000,,329,-125960192
2781,-98287616,FA244000,,330,-125059072
2783,-99680256,FA0F0000,,331,-124076032
2785,-100974592,F9FB4000,,332,-122945536
2787,-102367232,F9E60000,,333,-121602048
2789,-103841792,F9CF8000,,334,-120225792
2791,-105316352,F9B90000,,335,-118767616
2793,-106987520,F99F8000,,336,-117522432
2795,-108609536,F986C000,,337,-116473856
2797,-110166016,F96F0000,,338,-115261440
2799,-111837184,F9558000,,339,-114147328
2801,-113524736,F93BC000,,340,-113049600
2803,-115359744,F91FC000,,341,-111820800
2805,-117161984,F9044000,,342,-110542848
2807,-118751232,F8EC0000,,343,-109248512
2809,-120307712,F8D44000,,344,-107823104
2811,-121667584,F8BF8000,,345,-106381312
2813,-122830848,F8ADC000,,346,-104890368
2815,-123944960,F89CC000,,347,-103317504
2817,-124813312,F88F8000,,348,-101924864
2819,-125583360,F883C000,,349,-100614144
2821,-126320640,F8788000,,350,-99483648
2823,-126943232,F86F0000,,351,-98533376
2825,-127483904,F866C000,,352,-97566720
2827,-127844352,F8614000,,353,-96600064
2829,-128221184,F85B8000,,354,-95764480
2831,-128532480,F856C000,,355,-95043584
2833,-128647168,F8550000,,356,-94371840
2835,-128581632,F8560000,,357,-93700096
2837,-128352256,F8598000,,358,-93061120
2839,-127827968,F8618000,,359,-92520448
2841,-127139840,F86C0000,,360,-92078080
2843,-126255104,F8798000,,361,-91701248
2845,-125173760,F88A0000,,362,-91488256
2847,-124010496,F89BC000,,363,-91504640
2849,-122667008,F8B04000,,364,-91602944
2851,-121307136,F8C50000,,365,-91832320
2853,-119996416,F8D90000,,366,-92356608
2855,-118571008,F8EEC000,,367,-93110272
2857,-117309440,F9020000,,368,-93995008
2859,-116146176,F913C000,,369,-95043584
2861,-115113984,F9238000,,370,-96321536
2863,-113901568,F9360000,,371,-97632256
2865,-112492544,F94B8000,,372,-98942976
2867,-111149056,F9600000,,373,-100302848
2869,-109707264,F9760000,,374,-101597184
2871,-108265472,F98C0000,,375,-102858752
2873,-106823680,F9A20000,,376,-104333312
2875,-105234432,F9BA4000,,377,-105971712
2877,-97763328,FA2C4000,,378,-107462656
2879,-96681984,FA3CC000,,379,-108969984
2881,-95813632,FA4A0000,,380,-110510080
2883,-94961664,FA570000,,381,-112082944
2885,-94224384,FA624000,,382,-113836032
2887,-93569024,FA6C4000,,383,-122372096
2889,-92782592,FA784000,,384,-123469824
2891,-92176384,FA818000,,385,-124108800
2893,-91799552,FA874000,,386,-124715008
2895,-91422720,FA8D0000,,387,-125452288
2897,-91160576,FA910000,,388,-126009344
2899,-91062272,FA928000,,389,-126451712
2901,-91111424,FA91C000,,390,-126795776
2903,-91406336,FA8D4000,,391,-127139840
2905,-91897856,FA85C000,,392,-127401984
2907,-92618752,FA7AC000,,393,-127483904
2909,-93519872,FA6D0000,,394,-127434752
2911,-94552064,FA5D4000,,395,-127107072
2913,-95879168,FA490000,,396,-126615552
2915,-97222656,FA348000,,397,-125960192
2917,-98566144,FA200000,,398,-124977152
2919,-100040704,FA098000,,399,-123928576
2921,-101384192,F9F50000,,400,-122781696
2923,-102596608,F9E28000,,401,-121487360
2925,-104054784,F9CC4000,,402,-120176640
