Index,Data,Frequency,Real,Imaginary,Abs
137,-1259,4384,99.8447,-31.1948,104.604
138,-1279,4416,289.111,-441.957,528.12
139,-1287,4448,92.9901,-355.053,367.028
140,-1278,4480,-210.842,-406.148,457.613
141,-1264,4512,-881.452,-366.816,954.732
142,-1268,4544,-1276.02,834.631,1524.74
143,-1686,4576,-838.498,4147.58,4231.49
144,-1680,4608,-7158.59,-10298.5,12542.1
145,-1645,4640,-2847.94,-479.454,2888.02
146,-1596,4672,-1453.77,1143.59,1849.66
147,-1552,4704,19.192,1373.33,1373.46
148,-1528,4736,900.417,734.824,1162.2
149,-1525,4768,1032.63,-249.993,1062.46
150,-1527,4800,455.687,-725.456,856.701
151,-1515,4832,-304.364,-732.756,793.453
152,-1481,4864,-743.907,-366.239,829.173
153,-1438,4896,-618.015,352.555,711.504
154,-1402,4928,-48.35,547.17,549.302
155,-1378,4960,461.262,522.517,696.984
156,-1369,4992,719.881,20.0851,720.161
157,-1360,5024,461.867,-480.338,666.368
158,-1339,5056,-145.147,-555.559,574.206
159,-1305,5088,-576.355,-291.68,645.958
160,-1270,5120,-524.371,192.231,558.496
161,-1244,5152,-78.6118,496.359,502.546
162,-1237,5184,334.228,370.629,499.074
163,-1247,5216,493.315,78.7053,499.554
164,-1265,5248,239.747,-269.149,360.444
165,-1272,5280,-113.547,-551.263,562.835
166,-1261,5312,-427.086,-273.611,507.213
167,-1245,5344,-491.05,152.036,514.047
168,-1251,5376,-155.813,449.765,475.989
169,-1291,5408,268.852,416.295,495.563
170,-1349,5440,473.179,69.9004,478.314
171,-1404,5472,327.552,-287.636,435.918
172,-1435,5504,2.70715,-449.743,449.751
173,-1436,5536,-393.223,-289.521,488.31
174,-1422,5568,-433.174,152.285,459.163
175,-1418,5600,-146.935,410.02,435.553
176,-1439,5632,195.243,400.9,445.915
177,-1481,5664,405.468,79.5146,413.191
178,-1527,5696,288.437,-306.508,420.884
179,-1562,5728,-46.277,-418.567,421.117
180,-1584,5760,-294.577,-205.76,359.323
181,-1600,5792,-367.951,29.335,369.119
182,-1623,5824,-221.453,299.919,372.817
183,-1655,5856,73.343,396.53,403.256
184,-1686,5888,139.631,303.127,333.74
185,-1712,5920,297.207,-1555.37,1583.51
186,-1720,5952,-175.957,-540.954,568.851
187,-1703,5984,-450.82,-224.462,503.608
188,-1675,6016,-385.888,209.598,439.136
189,-1657,6048,-144.444,407.462,432.307
190,-1658,6080,224.936,366.168,429.739
191,-1674,6112,384.888,37.8069,386.741
192,-1685,6144,275.404,-291.514,401.033
193,-1668,6176,-23.5612,-399.769,400.463
194,-1628,6208,-295.195,-188.075,350.017
195,-1581,6240,-412.85,73.1935,419.288
196,-1543,6272,-152.47,346.719,378.763
197,-1527,6304,190.867,331.787,382.77
198,-1528,6336,359.367,77.6902,367.669
199,-1525,6368,301.244,-239.683,384.963
200,-1502,6400,13.8901,-402.538,402.777
201,-1464,6432,-313.027,-242.286,395.838
202,-1425,6464,-366.757,72.9438,373.94
203,-1395,6496,-140.003,323.804,352.775
204,-1378,6528,157.301,320.257,356.802
205,-1370,6560,319.741,-17.0625,320.196
206,-1357,6592,300.65,-210.043,366.754
207,-1330,6624,-40.494,-348.733,351.076
208,-1295,6656,-293.413,-236.454,376.832
209,-1262,6688,-334.95,87.4097,346.167
210,-1239,6720,-180.261,304.212,353.609
211,-1238,6752,166.693,319.07,359.989
212,-1255,6784,360.164,73.1326,367.514
213,-1272,6816,289.35,-236.462,373.681
214,-1271,6848,26.9099,-338.611,339.678
215,-1254,6880,-289.091,-223.152,365.199
216,-1242,6912,-356.434,67.0402,362.684
217,-1261,6944,-145.139,308.515,340.95
218,-1312,6976,138.328,306.291,336.078
219,-1373,7008,354.037,101.396,368.271
220,-1419,7040,266.15,-213.235,341.035
221,-1439,7072,27.3873,-324.525,325.678
222,-1432,7104,-299.689,-172.68,345.879
223,-1418,7136,-305.456,69.4565,313.253
224,-1424,7168,-114.932,258.853,283.221
225,-1455,7200,152.91,247.497,290.923
226,-1500,7232,535.601,528.378,752.364
227,-1543,7264,318.148,-190.219,370.677
228,-1573,7296,42.9485,-356.075,358.656
229,-1590,7328,-208.945,-255.389,329.972
230,-1606,7360,-362.987,25.2635,363.865
231,-1633,7392,-147.384,268.964,306.698
232,-1665,7424,90.6366,308.236,321.286
233,-1697,7456,315.05,74.3472,323.704
234,-1720,7488,269.92,-240.482,361.509
235,-1720,7520,48.42,-257.456,261.97
236,-1696,7552,-258.825,-171.725,310.612
237,-1668,7584,-312.521,53.2823,317.03
238,-1657,7616,-155.195,261.641,304.207
239,-1666,7648,138.596,321.65,350.239
240,-1684,7680,309.2,114.466,329.708
241,-1686,7712,291.055,-213.486,360.956
242,-1659,7744,2.6694,-280.388,280.4
243,-1613,7776,-255.818,-274.656,375.338
244,-1567,7808,-294.059,55.459,299.243
245,-1536,7840,-137.555,274.231,306.796
246,-1529,7872,131.234,218.766,255.11
247,-1532,7904,217.417,212.629,304.107
248,-1524,7936,264.108,-129.573,294.181
249,-1493,7968,21.49,-268.788,269.646
250,-1452,8000,-183.949,-200.289,271.943
251,-1416,8032,-307.119,32.0096,308.783
252,-1390,8064,-198.306,269.897,334.917
253,-1377,8096,84.6701,266.359,279.493
254,-1368,8128,260.348,77.4406,271.621
255,-1350,8160,269.825,-142.386,305.089
256,-1319,8192,48.1457,-308.524,312.258
257,-1284,8224,-178.53,-229.957,291.124
258,-1253,8256,-296.653,49.4263,300.742
259,-1237,8288,-196.578,233.44,305.183
260,-1243,8320,96.5539,275.714,292.132
261,-1260,8352,270.8,120.193,296.275
262,-1273,8384,258.583,-157.539,302.793
263,-1269,8416,51.3833,-258.424,263.483
264,-1252,8448,-174.878,-222.165,282.736
265,-1246,8480,-289.871,15.5598,290.288
266,-1273,8512,-157.884,215.827,267.412
267,-1329,8544,-123.229,353.712,374.563
268,-1388,8576,247.672,139.321,284.169
269,-1429,8608,230.764,-132.017,265.858
270,-1441,8640,54.5907,-282.639,287.863
271,-1430,8672,-214.01,-169.127,272.772
272,-1419,8704,-313.178,-9.5697,313.324
273,-1430,8736,-152.496,200.37,251.8
274,-1466,8768,67.1992,302.903,310.267
275,-1513,8800,268.711,117.105,293.119
276,-1553,8832,209.01,-123.113,242.574
277,-1581,8864,32.7649,-281.504,283.404
278,-1596,8896,-180.3,-205.098,273.081
279,-1615,8928,-266.064,-28.7004,267.607
280,-1644,8960,-155.363,200.265,253.463
281,-1677,8992,79.8445,265.826,277.558
282,-1707,9024,270.502,117.385,294.874
283,-1723,9056,230.271,-126.989,262.966
284,-1717,9088,69.8149,-249.186,258.781
285,-1691,9120,-154.186,-217.071,266.258
286,-1666,9152,-274.847,5.99646,274.913
287,-1660,9184,-215.93,269.769,345.545
288,-1674,9216,69.6799,176.56,189.812
289,-1690,9248,192.745,103,218.54
290,-1686,9280,214.106,-111.062,241.198
291,-1651,9312,33.0626,-259.696,261.792
292,-1602,9344,-174.64,-193.092,260.353
293,-1559,9376,-238.209,11.7343,238.497
294,-1535,9408,-132.902,214.882,252.66
295,-1531,9440,61.329,205.173,214.143
296,-1533,9472,255.387,113.189,279.346
297,-1521,9504,225.138,-96.4227,244.917
298,-1486,9536,39.615,-253.919,256.991
299,-1444,9568,-166.958,-204.753,264.195
300,-1410,9600,-231.671,-2.85229,231.688
301,-1387,9632,-129.332,181.647,222.985
302,-1378,9664,54.0113,241.832,247.79
303,-1368,9696,224.233,123.603,256.043
304,-1345,9728,219.1,-94.1973,238.491
