,0000F8B1,
3801,63670,0000F8B6
3803,63667,0000F8B3
3805,63665,0000F8B1
3807,63665,0000F8B1
3809,63665,0000F8B1
3811,63663,0000F8AF
3813,63665,0000F8B1
3815,63668,0000F8B4
3817,63671,0000F8B7
3819,63675,0000F8BB
3821,63680,0000F8C0
3823,63685,0000F8C5
3825,63693,0000F8CD
3827,63704,0000F8D8
3829,63715,0000F8E3
3831,63726,0000F8EE
3833,63739,0000F8FB
3835,63754,0000F90A
3837,63769,0000F919
3839,63786,0000F92A
3841,63802,0000F93A
3843,63815,0000F947
3845,63828,0000F954
3847,63841,0000F961
3849,63852,0000F96C
3851,63863,0000F977
3853,63873,0000F981
3855,63882,0000F98A
3857,63891,0000F993
3859,63900,0000F99C
3861,63912,0000F9A8
3863,63921,0000F9B1
3865,63927,0000F9B7
3867,63936,0000F9C0
3869,63944,0000F9C8
3871,63951,0000F9CF
3873,63957,0000F9D5
3875,63961,0000F9D9
3877,63965,0000F9DD
3879,63969,0000F9E1
3881,63970,0000F9E2
3883,63972,0000F9E4
3885,63976,0000F9E8
3887,63978,0000F9EA
3889,63978,0000F9EA
3891,63976,0000F9E8
3893,63975,0000F9E7
3895,63971,0000F9E3
3897,63966,0000F9DE
3899,63961,0000F9D9
3901,63952,0000F9D0
3903,63942,0000F9C6
3905,63930,0000F9BA
3907,63917,0000F9AD
3909,63902,0000F99E
3911,63886,0000F98E
3913,63868,0000F97C
3915,63851,0000F96B
3917,63836,0000F95C
3919,63820,0000F94C
3921,63805,0000F93D
3923,63790,0000F92E
3925,63776,0000F920
3927,63764,0000F914
3929,63754,0000F90A
3931,63742,0000F8FE
3933,63728,0000F8F0
3935,63715,0000F8E3
3937,63705,0000F8D9
3939,63696,0000F8D0
3941,63688,0000F8C8
3943,63680,0000F8C0
3945,63674,0000F8BA
3947,63668,0000F8B4
3949,63664,0000F8B0
3951,63663,0000F8AF
3953,63662,0000F8AE
3955,63663,0000F8AF
3957,63663,0000F8AF
3959,63664,0000F8B0
3961,63668,0000F8B4
3963,63671,0000F8B7
3965,63673,0000F8B9
3967,63678,0000F8BE
3969,63685,0000F8C5
3971,63693,0000F8CD
3973,63702,0000F8D6
3975,63713,0000F8E1
3977,63726,0000F8EE
3979,63739,0000F8FB
3981,63753,0000F909
3983,63769,0000F919
3985,63784,0000F928
3987,63799,0000F937
3989,63814,0000F946
3991,63826,0000F952
3993,63839,0000F95F
3995,63851,0000F96B
3997,63860,0000F974
3999,63870,0000F97E
4001,63880,0000F988
4003,63886,0000F98E
4005,63896,0000F998
4007,63908,0000F9A4
4009,63919,0000F9AF
4011,63926,0000F9B6
4013,63934,0000F9BE
4015,63942,0000F9C6
4017,63948,0000F9CC
4019,63954,0000F9D2
4021,63960,0000F9D8
4023,63964,0000F9DC
4025,63967,0000F9DF
4027,63969,0000F9E1
4029,63970,0000F9E2
4031,63973,0000F9E5
4033,63976,0000F9E8
4035,63976,0000F9E8
4037,63975,0000F9E7
4039,63973,0000F9E5
4041,63970,0000F9E2
4043,63965,0000F9DD
4045,63959,0000F9D7
4047,63952,0000F9D0
4049,63942,0000F9C6
4051,63929,0000F9B9
4053,63916,0000F9AC
4055,63900,0000F99C
4057,63884,0000F98C
4059,63867,0000F97B
4061,63850,0000F96A
4063,63834,0000F95A
4065,63819,0000F94B
4067,63803,0000F93B
4069,63788,0000F92C
4071,63775,0000F91F
4073,63764,0000F914
4075,63753,0000F909
4077,63741,0000F8FD
4079,63728,0000F8F0
4081,63714,0000F8E2
4083,63704,0000F8D8
4085,63696,0000F8D0
4087,63687,0000F8C7
4089,63680,0000F8C0
4091,63674,0000F8BA
4093,63668,0000F8B4
4095,63665,0000F8B1
4097,63663,0000F8AF
4099,63662,0000F8AE
4101,63661,0000F8AD
4103,63660,0000F8AC
4105,63662,0000F8AE
4107,63664,0000F8B0
4109,63667,0000F8B3
4111,63671,0000F8B7
4113,63675,0000F8BB
4115,63682,0000F8C2
4117,63691,0000F8CB
4119,63700,0000F8D4
4121,63711,0000F8DF
4123,63721,0000F8E9
4125,63734,0000F8F6
4127,63750,0000F906
4129,63766,0000F916
4131,63782,0000F926
4133,63798,0000F936
4135,63812,0000F944
4137,63825,0000F951
4139,63837,0000F95D
4141,63848,0000F968
4143,63860,0000F974
4145,63869,0000F97D
4147,63878,0000F986
4149,63888,0000F990
4151,63897,0000F999
4153,63908,0000F9A4
4155,63919,0000F9AF
4157,63927,0000F9B7
4159,63934,0000F9BE
4161,63941,0000F9C5
4163,63948,0000F9CC
4165,63953,0000F9D1
4167,63958,0000F9D6
4169,63964,0000F9DC
4171,63966,0000F9DE
4173,63968,0000F9E0
4175,63971,0000F9E3
4177,63973,0000F9E5
4179,63975,0000F9E7
4181,63976,0000F9E8
4183,63974,0000F9E6
4185,63972,0000F9E4
4187,63968,0000F9E0
4189,63964,0000F9DC
4191,63958,0000F9D6
4193,63950,0000F9CE
4195,63942,0000F9C6
4197,63928,0000F9B8
4199,63915,0000F9AB
4201,63902,0000F99E
4203,63884,0000F98C
4205,63867,0000F97B
4207,63851,0000F96B
4209,63835,0000F95B
4211,63820,0000F94C
4213,63804,0000F93C
4215,63789,0000F92D
4217,63775,0000F91F
4219,63763,0000F913
4221,63752,0000F908
4223,63740,0000F8FC
4225,63728,0000F8F0
4227,63717,0000F8E5
4229,63704,0000F8D8
4231,63694,0000F8CE
4233,63686,0000F8C6
4235,63678,0000F8BE
4237,63673,0000F8B9
4239,63668,0000F8B4
4241,63664,0000F8B0
4243,63662,0000F8AE
4245,63661,0000F8AD
4247,63661,0000F8AD
4249,63661,0000F8AD
4251,63661,0000F8AD
4253,63663,0000F8AF
4255,63666,0000F8B2
4257,63669,0000F8B5
4259,63674,0000F8BA
4261,63681,0000F8C1
4263,63689,0000F8C9
4265,63699,0000F8D3
4267,63709,0000F8DD
4269,63721,0000F8E9
4271,63734,0000F8F6
4273,63748,0000F904
4275,63764,0000F914
4277,63780,0000F924
4279,63797,0000F935
4281,63811,0000F943
4283,63822,0000F94E
4285,63834,0000F95A
4287,63845,0000F965
4289,63855,0000F96F
4291,63868,0000F97C
4293,63878,0000F986
4295,63886,0000F98E
4297,63895,0000F997
4299,63904,0000F9A0
4301,63914,0000F9AA
4303,63924,0000F9B4
4305,63932,0000F9BC
4307,63939,0000F9C3
4309,63945,0000F9C9
4311,63951,0000F9CF
4313,63957,0000F9D5
4315,63963,0000F9DB
4317,63966,0000F9DE
4319,63966,0000F9DE
4321,63968,0000F9E0
4323,63973,0000F9E5
4325,63974,0000F9E6
4327,63975,0000F9E7
4329,63973,0000F9E5
4331,63970,0000F9E2
4333,63968,0000F9E0
4335,63963,0000F9DB
4337,63958,0000F9D6
4339,63951,0000F9CF
4341,63941,0000F9C5
4343,63930,0000F9BA
4345,63916,0000F9AC
4347,63900,0000F99C
4349,63884,0000F98C
4351,63868,0000F97C
4353,63852,0000F96C
4355,63836,0000F95C
4357,63819,0000F94B
4359,63803,0000F93B
4361,63788,0000F92C
4363,63775,0000F91F
4365,63764,0000F914
4367,63753,0000F909
4369,63740,0000F8FC
4371,63728,0000F8F0
4373,63715,0000F8E3
4375,63703,0000F8D7
4377,63694,0000F8CE
4379,63686,0000F8C6
4381,63680,0000F8C0
4383,63672,0000F8B8
4385,63667,0000F8B3
4387,63663,0000F8AF
4389,63661,0000F8AD
4391,63661,0000F8AD
4393,63661,0000F8AD
4395,63661,0000F8AD
4397,63662,0000F8AE
4399,63664,0000F8B0
4401,63667,0000F8B3
4403,63670,0000F8B6
4405,63674,0000F8BA
4407,63682,0000F8C2
4409,63690,0000F8CA
4411,63699,0000F8D3
4413,63710,0000F8DE
4415,63720,0000F8E8
4417,63732,0000F8F4
4419,63749,0000F905
4421,63765,0000F915
4423,63781,0000F925
4425,63796,0000F934
4427,63811,0000F943
4429,63823,0000F94F
4431,63835,0000F95B
4433,63847,0000F967
4435,63857,0000F971
4437,63868,0000F97C
4439,63879,0000F987
4441,63887,0000F98F
4443,63895,0000F997
4445,63906,0000F9A2
4447,63916,0000F9AC
4449,63925,0000F9B5
4451,63932,0000F9BC
4453,63940,0000F9C4
4455,63948,0000F9CC
4457,63954,0000F9D2
4459,63959,0000F9D7
4461,63963,0000F9DB
4463,63966,0000F9DE
4465,63969,0000F9E1
4467,63971,0000F9E3
4469,63973,0000F9E5
4471,63976,0000F9E8
4473,63976,0000F9E8
4475,63975,0000F9E7
4477,63974,0000F9E6
4479,63970,0000F9E2
4481,63967,0000F9DF
4483,63962,0000F9DA
4485,63955,0000F9D3
4487,63946,0000F9CA
4489,63933,0000F9BD
4491,63919,0000F9AF
4493,63903,0000F99F
4495,63886,0000F98E
4497,63870,0000F97E
4499,63854,0000F96E
4501,63839,0000F95F
4503,63825,0000F951
4505,63808,0000F940
4507,63792,0000F930
4509,63778,0000F922
4511,63766,0000F916
4513,63756,0000F90C
4515,63744,0000F900
4517,63731,0000F8F3
4519,63718,0000F8E6
4521,63705,0000F8D9
4523,63697,0000F8D1
4525,63689,0000F8C9
4527,63681,0000F8C1
4529,63676,0000F8BC
4531,63669,0000F8B5
4533,63665,0000F8B1
4535,63663,0000F8AF
4537,63662,0000F8AE
4539,63662,0000F8AE
4541,63663,0000F8AF
4543,63664,0000F8B0
4545,63666,0000F8B2
4547,63669,0000F8B5
4549,63673,0000F8B9
4551,63676,0000F8BC
4553,63681,0000F8C1
4555,63691,0000F8CB
4557,63699,0000F8D3
4559,63710,0000F8DE
4561,63722,0000F8EA
4563,63734,0000F8F6
4565,63749,0000F905
4567,63765,0000F915
4569,63781,0000F925
4571,63798,0000F936
4573,63812,0000F944
4575,63823,0000F94F
4577,63835,0000F95B
4579,63846,0000F966
4581,63858,0000F972
4583,63869,0000F97D
4585,63880,0000F988
4587,63889,0000F991
4589,63896,0000F998
4591,63906,0000F9A2
4593,63918,0000F9AE
4595,63927,0000F9B7
4597,63934,0000F9BE
4599,63942,0000F9C6
4601,63948,0000F9CC
4603,63954,0000F9D2
4605,63960,0000F9D8
4607,63965,0000F9DD
4609,63968,0000F9E0
4611,63970,0000F9E2
4613,63972,0000F9E4
4615,63973,0000F9E5
4617,63976,0000F9E8
4619,63979,0000F9EB
4621,63976,0000F9E8
4623,63974,0000F9E6
4625,63972,0000F9E4
4627,63967,0000F9DF
4629,63963,0000F9DB
4631,63956,0000F9D4
4633,63946,0000F9CA
4635,63934,0000F9BE
4637,63920,0000F9B0
4639,63905,0000F9A1
4641,63888,0000F990
4643,63872,0000F980
4645,63857,0000F971
4647,63839,0000F95F
4649,63824,0000F950
4651,63811,0000F943
4653,63795,0000F933
4655,63780,0000F924
4657,63768,0000F918
4659,63757,0000F90D
4661,63746,0000F902
4663,63733,0000F8F5
4665,63720,0000F8E8
4667,63707,0000F8DB
4669,63699,0000F8D3
4671,63693,0000F8CD
4673,63684,0000F8C4
4675,63676,0000F8BC
4677,63673,0000F8B9
4679,63668,0000F8B4
4681,63665,0000F8B1
4683,63665,0000F8B1
4685,63663,0000F8AF
4687,63664,0000F8B0
4689,63665,0000F8B1
4691,63665,0000F8B1
4693,63669,0000F8B5
4695,63672,0000F8B8
4697,63676,0000F8BC
4699,63682,0000F8C2
4701,63690,0000F8CA
4703,63699,0000F8D3
4705,63710,0000F8DE
4707,63721,0000F8E9
4709,63734,0000F8F6
4711,63748,0000F904
4713,63763,0000F913
4715,63780,0000F924
4717,63796,0000F934
4719,63811,0000F943
4721,63823,0000F94F
4723,63835,0000F95B
4725,63847,0000F967
4727,63858,0000F972
4729,63868,0000F97C
4731,63877,0000F985
4733,63886,0000F98E
4735,63896,0000F998
4737,63904,0000F9A0
4739,63915,0000F9AB
4741,63926,0000F9B6
4743,63931,0000F9BB
4745,63937,0000F9C1
4747,63944,0000F9C8
4749,63950,0000F9CE
4751,63957,0000F9D5
4753,63963,0000F9DB
4755,63966,0000F9DE
4757,63968,0000F9E0
4759,63969,0000F9E1
4761,63973,0000F9E5
4763,63975,0000F9E7
4765,63976,0000F9E8
4767,63975,0000F9E7
4769,63972,0000F9E4
4771,63970,0000F9E2
4773,63968,0000F9E0
4775,63962,0000F9DA
4777,63955,0000F9D3
4779,63946,0000F9CA
4781,63933,0000F9BD
4783,63919,0000F9AF
4785,63904,0000F9A0
4787,63888,0000F990
4789,63871,0000F97F
4791,63856,0000F970
4793,63840,0000F960
4795,63824,0000F950
4797,63808,0000F940
4799,63793,0000F931
4801,63777,0000F921
4803,63765,0000F915
4805,63755,0000F90B
4807,63743,0000F8FF
4809,63732,0000F8F4
4811,63719,0000F8E7
4813,63706,0000F8DA
4815,63697,0000F8D1
4817,63689,0000F8C9
4819,63682,0000F8C2
4821,63676,0000F8BC
4823,63670,0000F8B6
4825,63665,0000F8B1
4827,63662,0000F8AE
4829,63662,0000F8AE
4831,63663,0000F8AF
4833,63661,0000F8AD
4835,63662,0000F8AE
4837,63665,0000F8B1
4839,63667,0000F8B3
4841,63670,0000F8B6
4843,63675,0000F8BB
4845,63681,0000F8C1
4847,63688,0000F8C8
4849,63698,0000F8D2
4851,63710,0000F8DE
4853,63721,0000F8E9
4855,63734,0000F8F6
4857,63748,0000F904
4859,63762,0000F912
4861,63779,0000F923
4863,63795,0000F933
4865,63808,0000F940
4867,63821,0000F94D
4869,63834,0000F95A
4871,63845,0000F965
4873,63856,0000F970
4875,63867,0000F97B
4877,63877,0000F985
4879,63885,0000F98D
4881,63894,0000F996
4883,63904,0000F9A0
4885,63916,0000F9AC
4887,63924,0000F9B4
4889,63932,0000F9BC
4891,63939,0000F9C3
4893,63946,0000F9CA
4895,63952,0000F9D0
4897,63957,0000F9D5
4899,63963,0000F9DB
4901,63966,0000F9DE
4903,63968,0000F9E0
4905,63971,0000F9E3
4907,63973,0000F9E5
4909,63976,0000F9E8
4911,63976,0000F9E8
4913,63975,0000F9E7
4915,63974,0000F9E6
4917,63970,0000F9E2
4919,63967,0000F9DF
4921,63962,0000F9DA
4923,63953,0000F9D1
4925,63945,0000F9C9
4927,63935,0000F9BF
4929,63920,0000F9B0
4931,63905,0000F9A1
4933,63889,0000F991
4935,63871,0000F97F
4937,63855,0000F96F
4939,63839,0000F95F
4941,63824,0000F950
4943,63808,0000F940
4945,63793,0000F931
4947,63780,0000F924
4949,63766,0000F916
4951,63755,0000F90B
4953,63745,0000F901
4955,63731,0000F8F3
4957,63717,0000F8E5
4959,63704,0000F8D8
4961,63696,0000F8D0
4963,63689,0000F8C9
4965,63681,0000F8C1
4967,63673,0000F8B9
4969,63667,0000F8B3
4971,63664,0000F8B0
4973,63663,0000F8AF
4975,63661,0000F8AD
4977,63661,0000F8AD
4979,63660,0000F8AC
4981,63659,0000F8AB
4983,63662,0000F8AE
4985,63667,0000F8B3
4987,63669,0000F8B5
4989,63673,0000F8B9
4991,63680,0000F8C0
4993,63686,0000F8C6
4995,63696,0000F8D0
4997,63706,0000F8DA
4999,63718,0000F8E6
5001,63730,0000F8F2
5003,63745,0000F901
5005,63761,0000F911
5007,63776,0000F920
5009,63791,0000F92F
5011,63806,0000F93E
5013,63819,0000F94B
5015,63832,0000F958
5017,63845,0000F965
5019,63854,0000F96E
5021,63864,0000F978
5023,63874,0000F982
5025,63883,0000F98B
5027,63892,0000F994
5029,63903,0000F99F
5031,63913,0000F9A9
5033,63921,0000F9B1
5035,63929,0000F9B9
5037,63938,0000F9C2
5039,63944,0000F9C8
5041,63950,0000F9CE
5043,63957,0000F9D5
5045,63963,0000F9DB
5047,63967,0000F9DF
5049,63968,0000F9E0
5051,63969,0000F9E1
5053,63970,0000F9E2
5055,63974,0000F9E6
5057,63976,0000F9E8
5059,63975,0000F9E7
5061,63972,0000F9E4
5063,63971,0000F9E3
5065,63967,0000F9DF
5067,63962,0000F9DA
5069,63955,0000F9D3
5071,63944,0000F9C8
5073,63934,0000F9BE
5075,63921,0000F9B1
5077,63904,0000F9A0
5079,63889,0000F991
5081,63872,0000F980
5083,63856,0000F970
5085,63840,0000F960
5087,63825,0000F951
5089,63810,0000F942
5091,63795,0000F933
5093,63780,0000F924
5095,63767,0000F917
5097,63755,0000F90B
5099,63744,0000F900
5101,63733,0000F8F5
5103,63718,0000F8E6
5105,63705,0000F8D9
5107,63697,0000F8D1
5109,63689,0000F8C9
5111,63682,0000F8C2
5113,63675,0000F8BB
5115,63670,0000F8B6
5117,63666,0000F8B2
5119,63663,0000F8AF
5121,63663,0000F8AF
5123,63662,0000F8AE
5125,63661,0000F8AD
5127,63663,0000F8AF
5129,63664,0000F8B0
5131,63667,0000F8B3
5133,63671,0000F8B7
5135,63673,0000F8B9
5137,63679,0000F8BF
5139,63688,0000F8C8
5141,63696,0000F8D0
5143,63706,0000F8DA
5145,63717,0000F8E5
5147,63729,0000F8F1
5149,63744,0000F900
5151,63760,0000F910
5153,63776,0000F920
5155,63792,0000F930
5157,63806,0000F93E
5159,63819,0000F94B
5161,63832,0000F958
5163,63844,0000F964
5165,63855,0000F96F
5167,63865,0000F979
5169,63876,0000F984
5171,63885,0000F98D
5173,63893,0000F995
5175,63903,0000F99F
5177,63913,0000F9A9
5179,63923,0000F9B3
5181,63931,0000F9BB
5183,63938,0000F9C2
5185,63945,0000F9C9
5187,63950,0000F9CE
5189,63956,0000F9D4
5191,63962,0000F9DA
5193,63965,0000F9DD
5195,63968,0000F9E0
5197,63971,0000F9E3
5199,63973,0000F9E5
5201,63975,0000F9E7
5203,63977,0000F9E9
5205,63975,0000F9E7
5207,63972,0000F9E4
5209,63969,0000F9E1
5211,63967,0000F9DF
5213,63962,0000F9DA
5215,63954,0000F9D2
5217,63945,0000F9C9
5219,63934,0000F9BE
5221,63921,0000F9B1
5223,63907,0000F9A3
5225,63890,0000F992
5227,63874,0000F982
5229,63858,0000F972
5231,63842,0000F962
5233,63826,0000F952
5235,63810,0000F942
5237,63795,0000F933
5239,63780,0000F924
5241,63767,0000F917
5243,63758,0000F90E
5245,63746,0000F902
5247,63734,0000F8F6
5249,63722,0000F8EA
5251,63709,0000F8DD
5253,63699,0000F8D3
5255,63693,0000F8CD
5257,63684,0000F8C4
5259,63676,0000F8BC
5261,63671,0000F8B7
5263,63667,0000F8B3
5265,63664,0000F8B0
5267,63664,0000F8B0
5269,63664,0000F8B0
5271,63663,0000F8AF
5273,63663,0000F8AF
5275,63665,0000F8B1
5277,63668,0000F8B4
5279,63671,0000F8B7
5281,63676,0000F8BC
5283,63680,0000F8C0
5285,63688,0000F8C8
5287,63699,0000F8D3
5289,63708,0000F8DC
5291,63720,0000F8E8
5293,63732,0000F8F4
5295,63746,0000F902
5297,63762,0000F912
5299,63779,0000F923
5301,63796,0000F934
5303,63809,0000F941
5305,63821,0000F94D
5307,63834,0000F95A
5309,63846,0000F966
5311,63857,0000F971
5313,63868,0000F97C
5315,63878,0000F986
5317,63886,0000F98E
5319,63895,0000F997
5321,63905,0000F9A1
5323,63915,0000F9AB
5325,63925,0000F9B5
5327,63934,0000F9BE
5329,63942,0000F9C6
5331,63948,0000F9CC
5333,63954,0000F9D2
5335,63959,0000F9D7
5337,63965,0000F9DD
5339,63970,0000F9E2
5341,63970,0000F9E2
5343,63972,0000F9E4
5345,63976,0000F9E8
5347,63977,0000F9E9
5349,63978,0000F9EA
5351,63978,0000F9EA
5353,63975,0000F9E7
5355,63971,0000F9E3
5357,63969,0000F9E1
5359,63966,0000F9DE
5361,63959,0000F9D7
5363,63949,0000F9CD
5365,63938,0000F9C2
5367,63925,0000F9B5
5369,63910,0000F9A6
5371,63894,0000F996
5373,63877,0000F985
5375,63860,0000F974
5377,63845,0000F965
5379,63828,0000F954
5381,63814,0000F946
5383,63799,0000F937
5385,63784,0000F928
5387,63771,0000F91B
5389,63761,0000F911
5391,63750,0000F906
5393,63737,0000F8F9
5395,63723,0000F8EB
5397,63713,0000F8E1
5399,63703,0000F8D7
5401,63694,0000F8CE
5403,63687,0000F8C7
5405,63679,0000F8BF
5407,63674,0000F8BA
5409,63669,0000F8B5
5411,63666,0000F8B2
5413,63666,0000F8B2
5415,63666,0000F8B2
5417,63664,0000F8B0
5419,63664,0000F8B0
5421,63667,0000F8B3
5423,63670,0000F8B6
5425,63673,0000F8B9
5427,63678,0000F8BE
5429,63685,0000F8C5
5431,63691,0000F8CB
5433,63700,0000F8D4
5435,63711,0000F8DF
5437,63721,0000F8E9
5439,63733,0000F8F5
5441,63748,0000F904
5443,63763,0000F913
5445,63780,0000F924
5447,63796,0000F934
5449,63810,0000F942
5451,63823,0000F94F
5453,63835,0000F95B
5455,63848,0000F968
5457,63860,0000F974
5459,63869,0000F97D
5461,63881,0000F989
5463,63889,0000F991
5465,63897,0000F999
5467,63907,0000F9A3
5469,63918,0000F9AE
5471,63927,0000F9B7
5473,63935,0000F9BF
5475,63942,0000F9C6
5477,63950,0000F9CE
5479,63957,0000F9D5
5481,63963,0000F9DB
5483,63968,0000F9E0
5485,63972,0000F9E4
5487,63975,0000F9E7
5489,63976,0000F9E8
5491,63979,0000F9EB
5493,63982,0000F9EE
5495,63982,0000F9EE
5497,63982,0000F9EE
5499,63980,0000F9EC
5501,63977,0000F9E9
5503,63973,0000F9E5
5505,63968,0000F9E0
5507,63963,0000F9DB
5509,63954,0000F9D2
5511,63943,0000F9C7
5513,63929,0000F9B9
5515,63913,0000F9A9
5517,63897,0000F999
5519,63882,0000F98A
5521,63865,0000F979
5523,63848,0000F968
5525,63834,0000F95A
5527,63817,0000F949
5529,63801,0000F939
5531,63787,0000F92B
5533,63775,0000F91F
5535,63764,0000F914
5537,63753,0000F909
5539,63741,0000F8FD
5541,63726,0000F8EE
5543,63714,0000F8E2
5545,63704,0000F8D8
5547,63696,0000F8D0
5549,63688,0000F8C8
5551,63683,0000F8C3
5553,63676,0000F8BC
5555,63671,0000F8B7
5557,63669,0000F8B5
5559,63667,0000F8B3
5561,63667,0000F8B3
5563,63667,0000F8B3
5565,63667,0000F8B3
5567,63668,0000F8B4
5569,63670,0000F8B6
5571,63674,0000F8BA
5573,63677,0000F8BD
5575,63683,0000F8C3
5577,63692,0000F8CC
5579,63701,0000F8D5
5581,63710,0000F8DE
5583,63722,0000F8EA
5585,63733,0000F8F5
5587,63748,0000F904
5589,63764,0000F914
5591,63778,0000F922
5593,63795,0000F933
5595,63810,0000F942
5597,63823,0000F94F
5599,63836,0000F95C
5601,63847,0000F967
5603,63858,0000F972
5605,63869,0000F97D
5607,63878,0000F986
5609,63888,0000F990
5611,63896,0000F998
5613,63905,0000F9A1
5615,63917,0000F9AD
5617,63926,0000F9B6
5619,63934,0000F9BE
5621,63941,0000F9C5
5623,63948,0000F9CC
5625,63954,0000F9D2
5627,63959,0000F9D7
5629,63966,0000F9DE
5631,63969,0000F9E1
5633,63972,0000F9E4
5635,63974,0000F9E6
5637,63974,0000F9E6
5639,63977,0000F9E9
5641,63980,0000F9EC
5643,63978,0000F9EA
5645,63976,0000F9E8
5647,63974,0000F9E6
5649,63970,0000F9E2
5651,63967,0000F9DF
5653,63960,0000F9D8
5655,63950,0000F9CE
5657,63940,0000F9C4
5659,63927,0000F9B7
5661,63913,0000F9A9
5663,63897,0000F999
5665,63880,0000F988
5667,63864,0000F978
5669,63847,0000F967
5671,63832,0000F958
5673,63818,0000F94A
5675,63800,0000F938
5677,63786,0000F92A
5679,63774,0000F91E
5681,63762,0000F912
5683,63752,0000F908
5685,63740,0000F8FC
5687,63728,0000F8F0
5689,63714,0000F8E2
5691,63703,0000F8D7
5693,63695,0000F8CF
5695,63687,0000F8C7
5697,63680,0000F8C0
5699,63674,0000F8BA
5701,63668,0000F8B4
5703,63666,0000F8B2
5705,63667,0000F8B3
5707,63665,0000F8B1
5709,63664,0000F8B0
5711,63665,0000F8B1
5713,63666,0000F8B2
5715,63669,0000F8B5
5717,63672,0000F8B8
5719,63677,0000F8BD
5721,63682,0000F8C2
5723,63688,0000F8C8
5725,63699,0000F8D3
5727,63708,0000F8DC
5729,63719,0000F8E7
5731,63732,0000F8F4
5733,63746,0000F902
5735,63761,0000F911
5737,63777,0000F921
5739,63792,0000F930
5741,63807,0000F93F
5743,63820,0000F94C
5745,63832,0000F958
5747,63845,0000F965
5749,63856,0000F970
5751,63867,0000F97B
5753,63876,0000F984
5755,63886,0000F98E
5757,63896,0000F998
5759,63905,0000F9A1
5761,63915,0000F9AB
5763,63925,0000F9B5
5765,63931,0000F9BB
5767,63939,0000F9C3
5769,63946,0000F9CA
5771,63953,0000F9D1
5773,63959,0000F9D7
5775,63964,0000F9DC
5777,63968,0000F9E0
5779,63972,0000F9E4
5781,63973,0000F9E5
5783,63975,0000F9E7
5785,63978,0000F9EA
5787,63979,0000F9EB
5789,63978,0000F9EA
5791,63976,0000F9E8
5793,63974,0000F9E6
5795,63971,0000F9E3
5797,63965,0000F9DD
5799,63959,0000F9D7
5801,63952,0000F9D0
5803,63942,0000F9C6
5805,63928,0000F9B8
5807,63913,0000F9A9
5809,63897,0000F999
5811,63879,0000F987
5813,63863,0000F977
5815,63849,0000F969
5817,63832,0000F958
5819,63816,0000F948
5821,63801,0000F939
5823,63785,0000F929
5825,63772,0000F91C
5827,63762,0000F912
5829,63750,0000F906
5831,63738,0000F8FA
5833,63725,0000F8ED
5835,63713,0000F8E1
5837,63703,0000F8D7
5839,63694,0000F8CE
5841,63686,0000F8C6
5843,63678,0000F8BE
5845,63673,0000F8B9
5847,63669,0000F8B5
5849,63666,0000F8B2
5851,63665,0000F8B1
5853,63665,0000F8B1
5855,63663,0000F8AF
5857,63664,0000F8B0
5859,63666,0000F8B2
5861,63669,0000F8B5
5863,63673,0000F8B9
5865,63676,0000F8BC
5867,63681,0000F8C1
5869,63688,0000F8C8
5871,63696,0000F8D0
5873,63707,0000F8DB
5875,63717,0000F8E5
5877,63730,0000F8F2
5879,63744,0000F900
5881,63758,0000F90E
5883,63774,0000F91E
5885,63791,0000F92F
5887,63806,0000F93E
5889,63820,0000F94C
5891,63831,0000F957
5893,63842,0000F962
5895,63853,0000F96D
5897,63864,0000F978
5899,63876,0000F984
5901,63884,0000F98C
5903,63891,0000F993
5905,63902,0000F99E
5907,63913,0000F9A9
5909,63924,0000F9B4
5911,63935,0000F9BF
5913,63941,0000F9C5
5915,63948,0000F9CC
5917,63955,0000F9D3
5919,63960,0000F9D8
5921,63966,0000F9DE
5923,63970,0000F9E2
5925,63972,0000F9E4
5927,63975,0000F9E7
5929,63979,0000F9EB
5931,63981,0000F9ED
5933,63982,0000F9EE
5935,63981,0000F9ED
5937,63980,0000F9EC
5939,63977,0000F9E9
5941,63974,0000F9E6
5943,63971,0000F9E3
5945,63963,0000F9DB
5947,63955,0000F9D3
5949,63945,0000F9C9
5951,63932,0000F9BC
5953,63917,0000F9AD
5955,63902,0000F99E
5957,63885,0000F98D
5959,63869,0000F97D
5961,63853,0000F96D
5963,63838,0000F95E
5965,63822,0000F94E
5967,63806,0000F93E
5969,63791,0000F92F
5971,63777,0000F921
5973,63766,0000F916
5975,63756,0000F90C
5977,63743,0000F8FF
5979,63731,0000F8F3
5981,63718,0000F8E6
5983,63707,0000F8DB
5985,63698,0000F8D2
5987,63690,0000F8CA
5989,63683,0000F8C3
5991,63678,0000F8BE
5993,63672,0000F8B8
5995,63669,0000F8B5
5997,63667,0000F8B3
5999,63667,0000F8B3
6001,63667,0000F8B3
6003,63666,0000F8B2
6005,63667,0000F8B3
6007,63671,0000F8B7
6009,63674,0000F8BA
6011,63678,0000F8BE
6013,63683,0000F8C3
6015,63690,0000F8CA
6017,63699,0000F8D3
6019,63709,0000F8DD
6021,63721,0000F8E9
6023,63732,0000F8F4
6025,63745,0000F901
6027,63760,0000F910
6029,63776,0000F920
6031,63793,0000F931
6033,63809,0000F941
6035,63821,0000F94D
6037,63834,0000F95A
6039,63846,0000F966
6041,63856,0000F970
6043,63866,0000F97A
6045,63877,0000F985
