,0000F8B1,
6223,63980,0000F9EC
6225,63981,0000F9ED
6227,63980,0000F9EC
6229,63979,0000F9EB
6231,63975,0000F9E7
6233,63973,0000F9E5
6235,63968,0000F9E0
6237,63962,0000F9DA
6239,63956,0000F9D4
6241,63944,0000F9C8
6243,63932,0000F9BC
6245,63918,0000F9AE
6247,63902,0000F99E
6249,63885,0000F98D
6251,63869,0000F97D
6253,63852,0000F96C
6255,63837,0000F95D
6257,63821,0000F94D
6259,63804,0000F93C
6261,63789,0000F92D
6263,63776,0000F920
6265,63766,0000F916
6267,63755,0000F90B
6269,63743,0000F8FF
6271,63731,0000F8F3
6273,63717,0000F8E5
6275,63706,0000F8DA
6277,63698,0000F8D2
6279,63690,0000F8CA
6281,63683,0000F8C3
6283,63677,0000F8BD
6285,63672,0000F8B8
6287,63668,0000F8B4
6289,63666,0000F8B2
6291,63666,0000F8B2
6293,63666,0000F8B2
6295,63666,0000F8B2
6297,63668,0000F8B4
6299,63670,0000F8B6
6301,63673,0000F8B9
6303,63678,0000F8BE
6305,63681,0000F8C1
6307,63689,0000F8C9
6309,63698,0000F8D2
6311,63706,0000F8DA
6313,63717,0000F8E5
6315,63728,0000F8F0
6317,63742,0000F8FE
6319,63758,0000F90E
6321,63774,0000F91E
6323,63791,0000F92F
6325,63806,0000F93E
6327,63818,0000F94A
6329,63831,0000F957
6331,63843,0000F963
6333,63855,0000F96F
6335,63866,0000F97A
6337,63875,0000F983
6339,63885,0000F98D
6341,63894,0000F996
6343,63904,0000F9A0
6345,63916,0000F9AC
6347,63923,0000F9B3
6349,63931,0000F9BB
6351,63940,0000F9C4
6353,63947,0000F9CB
6355,63954,0000F9D2
6357,63959,0000F9D7
6359,63963,0000F9DB
6361,63969,0000F9E1
6363,63971,0000F9E3
6365,63973,0000F9E5
6367,63977,0000F9E9
6369,63979,0000F9EB
6371,63981,0000F9ED
6373,63980,0000F9EC
6375,63978,0000F9EA
6377,63975,0000F9E7
6379,63972,0000F9E4
6381,63969,0000F9E1
6383,63963,0000F9DB
6385,63954,0000F9D2
6387,63944,0000F9C8
6389,63931,0000F9BB
6391,63917,0000F9AD
6393,63902,0000F99E
6395,63885,0000F98D
6397,63869,0000F97D
6399,63853,0000F96D
6401,63836,0000F95C
6403,63821,0000F94D
6405,63805,0000F93D
6407,63790,0000F92E
6409,63776,0000F920
6411,63765,0000F915
6413,63755,0000F90B
6415,63741,0000F8FD
6417,63727,0000F8EF
6419,63717,0000F8E5
6421,63706,0000F8DA
6423,63697,0000F8D1
6425,63690,0000F8CA
6427,63681,0000F8C1
6429,63675,0000F8BB
6431,63671,0000F8B7
6433,63666,0000F8B2
6435,63664,0000F8B0
6437,63664,0000F8B0
6439,63664,0000F8B0
6441,63663,0000F8AF
6443,63664,0000F8B0
6445,63667,0000F8B3
6447,63669,0000F8B5
6449,63673,0000F8B9
6451,63680,0000F8C0
6453,63686,0000F8C6
6455,63694,0000F8CE
6457,63704,0000F8D8
6459,63714,0000F8E2
6461,63727,0000F8EF
6463,63742,0000F8FE
6465,63755,0000F90B
6467,63771,0000F91B
6469,63788,0000F92C
6471,63803,0000F93B
6473,63816,0000F948
6475,63829,0000F955
6477,63842,0000F962
6479,63852,0000F96C
6481,63862,0000F976
6483,63873,0000F981
6485,63882,0000F98A
6487,63891,0000F993
6489,63900,0000F99C
6491,63910,0000F9A6
6493,63920,0000F9B0
6495,63928,0000F9B8
6497,63936,0000F9C0
6499,63943,0000F9C7
6501,63949,0000F9CD
6503,63956,0000F9D4
6505,63961,0000F9D9
6507,63965,0000F9DD
6509,63969,0000F9E1
6511,63970,0000F9E2
6513,63972,0000F9E4
6515,63975,0000F9E7
6517,63976,0000F9E8
6519,63976,0000F9E8
6521,63975,0000F9E7
6523,63973,0000F9E5
6525,63970,0000F9E2
6527,63966,0000F9DE
6529,63960,0000F9D8
6531,63952,0000F9D0
6533,63942,0000F9C6
6535,63930,0000F9BA
6537,63915,0000F9AB
6539,63899,0000F99B
6541,63884,0000F98C
6543,63868,0000F97C
6545,63852,0000F96C
6547,63836,0000F95C
6549,63820,0000F94C
6551,63805,0000F93D
6553,63789,0000F92D
6555,63775,0000F91F
6557,63764,0000F914
6559,63753,0000F909
6561,63742,0000F8FE
6563,63729,0000F8F1
6565,63716,0000F8E4
6567,63705,0000F8D9
6569,63696,0000F8D0
6571,63688,0000F8C8
6573,63681,0000F8C1
6575,63673,0000F8B9
6577,63668,0000F8B4
6579,63665,0000F8B1
6581,63664,0000F8B0
6583,63665,0000F8B1
6585,63664,0000F8B0
6587,63663,0000F8AF
6589,63664,0000F8B0
6591,63665,0000F8B1
6593,63669,0000F8B5
6595,63673,0000F8B9
6597,63677,0000F8BD
6599,63685,0000F8C5
6601,63693,0000F8CD
6603,63702,0000F8D6
6605,63714,0000F8E2
6607,63724,0000F8EC
6609,63737,0000F8F9
6611,63753,0000F909
6613,63769,0000F919
6615,63786,0000F92A
6617,63802,0000F93A
6619,63815,0000F947
6621,63827,0000F953
6623,63839,0000F95F
6625,63852,0000F96C
6627,63861,0000F975
6629,63872,0000F980
6631,63882,0000F98A
6633,63890,0000F992
6635,63899,0000F99B
6637,63911,0000F9A7
6639,63920,0000F9B0
