1, 64033,FA21
 5143, 64055,FA37
 5145, 63819,F94B
 5147, 63652,F8A4
 5149, 63785,F929
 5151, 64030,FA1E
 5153, 64058,FA3A
 5155, 63823,F94F
 5157, 63650,F8A2
 5159, 63780,F924
 5161, 64025,FA19
 5163, 64056,FA38
 5165, 63823,F94F
 5167, 63648,F8A0
 5169, 63775,F91F
 5171, 64021,FA15
 5173, 64057,FA39
 5175, 63827,F953
 5177, 63649,F8A1
 5179, 63771,F91B
 5181, 64020,FA14
 5183, 64060,FA3C
 5185, 63831,F957
 5187, 63650,F8A2
 5189, 63768,F918
 5191, 64016,FA10
 5193, 64061,FA3D
 5195, 63834,F95A
 5197, 63649,F8A1
 5199, 63765,F915
 5201, 64013,FA0D
 5203, 64062,FA3E
 5205, 63839,F95F
 5207, 63651,F8A3
 5209, 63762,F912
 5211, 64011,FA0B
 5213, 64064,FA40
 5215, 63843,F963
 5217, 63652,F8A4
 5219, 63759,F90F
 5221, 64008,FA08
 5223, 64064,FA40
 5225, 63844,F964
 5227, 63650,F8A2
 5229, 63755,F90B
 5231, 64006,FA06
 5233, 64067,FA43
 5235, 63849,F969
 5237, 63651,F8A3
 5239, 63751,F907
 5241, 64003,FA03
 5243, 64068,FA44
 5245, 63853,F96D
 5247, 63652,F8A4
 5249, 63750,F906
 5251, 64001,FA01
 5253, 64070,FA46
 5255, 63859,F973
 5257, 63656,F8A8
 5259, 63747,F903
 5261, 63999,F9FF
 5263, 64072,FA48
 5265, 63862,F976
 5267, 63656,F8A8
 5269, 63745,F901
 5271, 63996,F9FC
 5273, 64073,FA49
 5275, 63865,F979
 5277, 63656,F8A8
 5279, 63741,F8FD
 5281, 63991,F9F7
 5283, 64072,FA48
 5285, 63866,F97A
 5287, 63656,F8A8
 5289, 63739,F8FB
 5291, 63990,F9F6
 5293, 64076,FA4C
 5295, 63874,F982
 5297, 63661,F8AD
 5299, 63737,F8F9
 5301, 63989,F9F5
 5303, 64079,FA4F
 5305, 63879,F987
 5307, 63664,F8B0
 5309, 63736,F8F8
 5311, 63988,F9F4
 5313, 64082,FA52
 5315, 63884,F98C
 5317, 63665,F8B1
 5319, 63733,F8F5
 5321, 63984,F9F0
 5323, 64080,FA50
 5325, 63885,F98D
 5327, 63663,F8AF
 5329, 63728,F8F0
 5331, 63978,F9EA
