7, C0FFF991 , -1056966255
 7039, 00FFF917 , 16775447
 7041, 00FFF92B , 16775467
 7043, 40FFF9AB , 1090517419
 7045, 40FFF9EB , 1090517483
 7047, 00FFF992 , 16775570
 7049, C0FFF915 , -1056966379
 7051, 00FFF929 , 16775465
 7053, 80FFF9A8 , -2130708056
 7055, C0FFF9E9 , -1056966167
 7057, 40FFF993 , 1090517395
 7059, 40FFF917 , 1090517271
 7061, C0FFF927 , -1056966361
 7063, 80FFF9A9 , -2130708055
 7065, 80FFF9ED , -2130707987
 7067, 80FFF995 , -2130708075
 7069, 80FFF917 , -2130708201
 7071, 00FFF924 , 16775460
 7073, 40FFF9A1 , 1090517409
 7075, 40FFF9E6 , 1090517478
 7077, C0FFF991 , -1056966255
 7079, 40FFF914 , 1090517268
 7081, 00FFF91F , 16775455
 7083, 00FFF99C , 16775580
 7085, 40FFF9E5 , 1090517477
 7087, 40FFF995 , 1090517397
 7089, 40FFF917 , 1090517271
 7091, C0FFF91C , -1056966372
 7093, C0FFF997 , -1056966249
 7095, 00FFF9E1 , 16775649
 7097, C0FFF98F , -1056966257
 7099, 40FFF910 , 1090517264
 7101, 80FFF918 , -2130708200
 7103, C0FFF996 , -1056966250
 7105, C0FFF9E2 , -1056966174
 7107, 40FFF994 , 1090517396
 7109, C0FFF915 , -1056966379
 7111, 40FFF91B , 1090517275
 7113, 80FFF996 , -2130708074
 7115, 80FFF9E7 , -2130707993
 7117, C0FFF99A , -1056966246
 7119, 40FFF916 , 1090517270
 7121, C0FFF915 , -1056966379
 7123, 00FFF991 , 16775569
 7125, 80FFF9E5 , -2130707995
 7127, 00FFF99C , 16775580
 7129, 40FFF919 , 1090517273
 7131, 80FFF91A , -2130708198
 7133, 40FFF996 , 1090517398
 7135, 80FFF9E9 , -2130707991
 7137, 00FFF9A1 , 16775585
 7139, 80FFF91B , -2130708197
 7141, 00FFF917 , 16775447
 7143, 40FFF990 , 1090517392
 7145, 00FFF9E6 , 16775654
 7147, 00FFF9A3 , 16775587
 7149, C0FFF91F , -1056966369
 7151, 00FFF91A , 16775450
 7153, 00FFF996 , 16775574
