,3E638000, -108134400
 3451, -1102315520,BE4C0000, -114294784
 3453, -29458432,FE3E8000, -117833728
 3455, 2120138752,7E5EC000, -109379584
 3457, 2122366976,7E80C000, -100466688
 3459, -25870336,FE754000, -103481344
 3461, -28622848,FE4B4000, -114491392
 3463, 1044217856,3E3D8000, -118095872
 3465, 1046380544,3E5E8000, -109445120
 3467, 1048657920,3E814000, -100335616
 3469, -25804800,FE764000, -103219200
 3471, -28557312,FE4C4000, -114229248
 3473, 1044234240,3E3DC000, -118030336
 3475, 1046331392,3E5DC000, -109641728
 3477, -1098874880,BE808000, -100532224
 3479, 2121695232,7E768000, -103153664
 3481, 1045184512,3E4C4000, -114229248
 3483, -29605888,FE3C4000, -118423552
 3485, -27557888,FE5B8000, -110231552
 3487, 1048510464,3E7F0000, -100925440
 3489, -1099563008,BE760000, -103284736
 3491, -28540928,FE4C8000, -114163712
 3493, -1103314944,BE3CC000, -118292480
 3495, 1046216704,3E5C0000, -110100480
 3497, 2122285056,7E7F8000, -100794368
 3499, -1099481088,BE774000, -102957056
 3501, 1045299200,3E4E0000, -113770496
 3503, 1044168704,3E3CC000, -118292480
 3505, -1101332480,BE5B0000, -110362624
 3507, -25247744,FE7EC000, -100990976
 3509, -25804800,FE764000, -103219200
 3511, -28573696,FE4C0000, -114294784
 3513, -1103446016,BE3AC000, -118816768
 3515, -1101447168,BE594000, -110821376
 3517, -25280512,FE7E4000, -101122048
 3519, -1099415552,BE784000, -102694912
 3521, -28327936,FE4FC000, -113311744
 3523, -1103216640,BE3E4000, -117899264
 3525, -27557888,FE5B8000, -110231552
 3527, 1048559616,3E7FC000, -100728832
 3529, 1048100864,3E78C000, -102563840
 3531, 1045364736,3E4F0000, -113508352
 3533, 1044103168,3E3BC000, -118554624
 3535, -27787264,FE580000, -111149056
 3537, 2122088448,7E7C8000, -101580800
 3539, -1099513856,BE76C000, -103088128
 3541, 2119024640,7E4DC000, -113836032
 3543, 2117779456,7E3AC000, -118816768
 3545, -1101545472,BE57C000, -111214592
 3547, -25329664,FE7D8000, -101318656
 3549, -1099350016,BE794000, -102432768
 3551, 1045446656,3E504000, -113180672
 3553, -29655040,FE3B8000, -118620160
 3555, -1101578240,BE574000, -111345664
 3557, -1099137024,BE7C8000, -101580800
 3559, -25706496,FE77C000, -102825984
 3561, -28409856,FE4E8000, -113639424
 3563, -29802496,FE394000, -119209984
 3565, 2119467008,7E548000, -112066560
 3567, 2121957376,7E7A8000, -102105088
 3569, -25739264,FE774000, -102957056
 3571, 1045381120,3E4F4000, -113442816
 3573, 2117763072,7E3A8000, -118882304
 3575, 2119565312,7E560000, -111673344
 3577, -1099137024,BE7C8000, -101580800
 3579, -25608192,FE794000, -102432768
 3581, 1045512192,3E514000, -112918528
 3583, 1044119552,3E3C0000, -118489088
 3585, -27901952,FE564000, -111607808
 3587, -1099153408,BE7C4000, -101646336
 3589, 2121908224,7E79C000, -102301696
 3591, 1045528576,3E518000, -112852992
 3593, -29638656,FE3BC000, -118554624
 3595, -1101660160,BE560000, -111673344
 3597, -1099169792,BE7C0000, -101711872
 3599, -1099284480,BE7A4000, -102170624
 3601, 1045577728,3E524000, -112656384
 3603, -29655040,FE3B8000, -118620160
 3605, -1101725696,BE550000, -111935488
 3607, 2122006528,7E7B4000, -101908480
 3609, 2121924608,7E7A0000, -102236160
 3611, -28180480,FE520000, -112721920
 3613, 1044086784,3E3B8000, -118620160
 3615, 2119499776,7E550000, -111935488
 3617, -25460736,FE7B8000, -101842944
 3619, -25477120,FE7B4000, -101908480
 3621, -1101807616,BE53C000, -112263168
 3623, -29638656,FE3BC000, -118554624
 3625, -1101774848,BE544000, -112132096
 3627, 1048281088,3E7B8000, -101842944
 3629, 2122039296,7E7BC000, -101777408
 3631, 1045676032,3E53C000, -112263168
 3633, 1044070400,3E3B4000, -118685696
 3635, 1045659648,3E538000, -112328704
 3637, 2121973760,7E7AC000, -102039552
 3639, 2122055680,7E7C0000, -101711872
 3641, 2119483392,7E54C000, -112001024
 3643, -1103380480,BE3BC000, -118554624
 3645, 2119401472,7E538000, -112328704
 3647, -1099251712,BE7AC000, -102039552
 3649, -1099137024,BE7C8000, -101580800
 3651, 2119532544,7E558000, -111804416
 3653, -1103380480,BE3BC000, -118554624
 3655, 1045610496,3E52C000, -112525312
 3657, 1048199168,3E7A4000, -102170624
 3659, 1048363008,3E7CC000, -101515264
 3661, -27918336,FE560000, -111673344
 3663, 1044119552,3E3C0000, -118489088
 3665, -1101905920,BE524000, -112656384
 3667, -25542656,FE7A4000, -102170624
 3669, 1048412160,3E7D8000, -101318656
 3671, 2119598080,7E568000, -111542272
 3673, -1103413248,BE3B4000, -118685696
 3675, -1101971456,BE514000, -112918528
 3677, -25575424,FE79C000, -102301696
 3679, -1099087872,BE7D4000, -101384192
 3681, 1045872640,3E56C000, -111476736
 3683, -1103396864,BE3B8000, -118620160
 3685, -1101987840,BE510000, -112984064
 3687, -1099350016,BE794000, -102432768
 3689, -1099055104,BE7DC000, -101253120
 3691, 1045938176,3E57C000, -111214592
 3693, 1044103168,3E3BC000, -118554624
 3695, 2119188480,7E504000, -113180672
 3697, 2121826304,7E788000, -102629376
 3699, -25346048,FE7D4000, -101384192
 3701, -27836416,FE574000, -111345664
 3703, 1044070400,3E3B4000, -118685696
 3705, -1102102528,BE4F4000, -113442816
 3707, -1099464704,BE778000, -102891520
 3709, 1048412160,3E7D8000, -101318656
 3711, 2119696384,7E580000, -111149056
 3713, 2117812224,7E3B4000, -118685696
 3715, -28409856,FE4E8000, -113639424
 3717, -25772032,FE76C000, -103088128
 3719, 1048412160,3E7D8000, -101318656
 3721, 2119712768,7E584000, -111083520
 3723, 1044054016,3E3B0000, -118751232
 3725, -1102200832,BE4DC000, -113836032
 3727, 2121695232,7E768000, -103153664
 3729, 2122186752,7E7E0000, -101187584
 3731, 1046036480,3E594000, -110821376
 3733, -29704192,FE3AC000, -118816768
 3735, 1045233664,3E4D0000, -114032640
 3737, 1047904256,3E75C000, -103350272
 3739, 1048461312,3E7E4000, -101122048
 3741, -1101381632,BE5A4000, -110559232
 3743, 1044103168,3E3BC000, -118554624
 3745, 1045233664,3E4D0000, -114032640
 3747, 1047887872,3E758000, -103415808
 3749, 1048461312,3E7E4000, -101122048
 3751, 1046085632,3E5A0000, -110624768
 3753, 2117779456,7E3AC000, -118816768
 3755, 2118877184,7E4B8000, -114425856
 3757, 1047789568,3E740000, -103809024
 3759, 1048428544,3E7DC000, -101253120
 3761, -1101348864,BE5AC000, -110428160
 3763, -29638656,FE3BC000, -118554624
 3765, -28573696,FE4C0000, -114294784
 3767, 2121580544,7E74C000, -103612416
 3769, 2122235904,7E7EC000, -100990976
 3771, -27574272,FE5B4000, -110297088
 3773, -1103429632,BE3B0000, -118751232
 3775, 2118828032,7E4AC000, -114622464
 3777, 2121531392,7E740000, -103809024
 3779, -25231360,FE7F0000, -100925440
 3781, 1046249472,3E5C8000, -109969408
 3783, 1044103168,3E3BC000, -118554624
 3785, 2118811648,7E4A8000, -114688000
 3787, -25985024,FE738000, -103940096
 3789, -1098973184,BE7F0000, -100925440
 3791, 1046233088,3E5C4000, -110034944
 3793, 1044054016,3E3B0000, -118751232
 3795, 1045004288,3E498000, -114950144
 3797, -26034176,FE72C000, -104136704
 3799, 2122268672,7E7F4000, -100859904
 3801, 1046315008,3E5D8000, -109707264
 3803, -29589504,FE3C8000, -118358016
 3805, -1102413824,BE4A8000, -114688000
 3807, 1047756800,3E738000, -103940096
 3809, 2122334208,7E804000, -100597760
 3811, -1101103104,BE5E8000, -109445120
 3813, -29573120,FE3CC000, -118292480
 3815, -28721152,FE49C000, -114884608
 3817, -26066944,FE724000, -104267776
 3819, 2122301440,7E7FC000, -100728832
 3821, -27328512,FE5F0000, -109314048
 3823, -1103282176,BE3D4000, -118161408
 3825, 2118762496,7E49C000, -114884608
 3827, 1047707648,3E72C000, -104136704
 3829, 1048625152,3E80C000, -100466688
 3831, 1046495232,3E604000, -108986368
 3833, 1044234240,3E3DC000, -118030336
 3835, -1102512128,BE490000, -115081216
 3837, 2121351168,7E714000, -104529920
 3839, -1098907648,BE800000, -100663296
 3841, 1046495232,3E604000, -108986368
 3843, -1103265792,BE3D8000, -118095872
 3845, -1102544896,BE488000, -115212288
 3847, 2121318400,7E70C000, -104660992
 3849, -1098907648,BE800000, -100663296
 3851, 2120269824,7E60C000, -108855296
 3853, -29523968,FE3D8000, -118095872
 3855, -1102594048,BE47C000, -115408896
 3857, -1099939840,BE704000, -104792064
 3859, 2122334208,7E804000, -100597760
 3861, -27181056,FE614000, -108724224
 3863, 1044250624,3E3E0000, -117964800
 3865, -1102594048,BE47C000, -115408896
 3867, -1099923456,BE708000, -104726528
 3869, 1048641536,3E810000, -100401152
 3871, -1100890112,BE61C000, -108593152
 3873, 2117992448,7E3E0000, -117964800
 3875, -28868608,FE478000, -115474432
 3877, -1099956224,BE700000, -104857600
 3879, -1098825728,BE814000, -100335616
 3881, -27066368,FE630000, -108265472
 3883, 1044299776,3E3EC000, -117768192
 3885, 1044840448,3E470000, -115605504
 3887, 2121220096,7E6F4000, -105054208
 3889, -25100288,FE810000, -100401152
 3891, 2120450048,7E638000, -108134400
 3893, 2118057984,7E3F0000, -117702656
 3895, 1044840448,3E470000, -115605504
 3897, 1047478272,3E6F4000, -105054208
 3899, -1098809344,BE818000, -100270080
 3901, 1046773760,3E648000, -107872256
 3903, -1103134720,BE3F8000, -117571584
 3905, -1102675968,BE468000, -115736576
 3907, -26329088,FE6E4000, -105316352
 3909, 1048674304,3E818000, -100270080
